x y V
-1.639695 -13.293893 0.007180
-1.433588 -13.293893 0.006363
-1.227481 -13.293893 0.005529
-1.021374 -13.293893 0.004679
-0.815267 -13.293893 0.003817
-0.609160 -13.293893 0.002944
-0.403053 -13.293893 0.002064
-0.196947 -13.293893 0.001180
0.009160 -13.293893 0.000293
0.215267 -13.293893 -0.000594
0.421374 -13.293893 -0.001477
0.627481 -13.293893 -0.002355
0.833588 -13.293893 -0.003223
1.039695 -13.293893 -0.004081
1.245802 -13.293893 -0.004925
1.451908 -13.293893 -0.005752
1.658015 -13.293893 -0.006561
1.864122 -13.293893 -0.007348
2.070229 -13.293893 -0.008113
2.276336 -13.293893 -0.008851
2.482443 -13.293893 -0.009562
2.688550 -13.293893 -0.010244
2.894656 -13.293893 -0.010894
3.100763 -13.293893 -0.011512
3.306870 -13.293893 -0.012095
3.512977 -13.293893 -0.012641
3.719084 -13.293893 -0.013151
3.925191 -13.293893 -0.013623
4.131298 -13.293893 -0.014056
4.337405 -13.293893 -0.014448
4.543511 -13.293893 -0.014800
4.749618 -13.293893 -0.015111
4.955725 -13.293893 -0.015381
5.161832 -13.293893 -0.015609
5.367939 -13.293893 -0.015795
5.574046 -13.293893 -0.015940
5.780153 -13.293893 -0.016044
5.986260 -13.293893 -0.016106
6.192366 -13.293893 -0.016128
6.398473 -13.293893 -0.016110
6.604580 -13.293893 -0.016052
6.810687 -13.293893 -0.015956
7.016794 -13.293893 -0.015821
7.222901 -13.293893 -0.015650
7.429008 -13.293893 -0.015443
7.635115 -13.293893 -0.015201
7.841221 -13.293893 -0.014925
8.047328 -13.293893 -0.014616
8.253435 -13.293893 -0.014276
8.459542 -13.293893 -0.013906
8.665649 -13.293893 -0.013506
8.871756 -13.293893 -0.013079
9.077863 -13.293893 -0.012625
9.283969 -13.293893 -0.012146
9.490076 -13.293893 -0.011644
9.696183 -13.293893 -0.011119
9.902290 -13.293893 -0.010572
10.108397 -13.293893 -0.010006
10.314504 -13.293893 -0.009422
10.520611 -13.293893 -0.008820
10.726718 -13.293893 -0.008202
10.932824 -13.293893 -0.007569
11.138931 -13.293893 -0.006923
11.345038 -13.293893 -0.006265
11.551145 -13.293893 -0.005596
11.757252 -13.293893 -0.004917
11.963359 -13.293893 -0.004230
12.169466 -13.293893 -0.003536
12.375573 -13.293893 -0.002836
12.581679 -13.293893 -0.002131
12.787786 -13.293893 -0.001423
12.993893 -13.293893 -0.000712
13.200000 -13.293893 0.000000
-13.800000 -13.087786 0.000000
-13.593893 -13.087786 0.001409
-13.387786 -13.087786 0.002816
-13.181679 -13.087786 0.004219
-12.975573 -13.087786 0.005616
-12.769466 -13.087786 0.007006
-12.563359 -13.087786 0.008386
-12.357252 -13.087786 0.009754
-12.151145 -13.087786 0.011109
-11.945038 -13.087786 0.012448
-11.738931 -13.087786 0.013769
-11.532824 -13.087786 0.015070
-11.326718 -13.087786 0.016350
-11.120611 -13.087786 0.017605
-10.914504 -13.087786 0.018834
-10.708397 -13.087786 0.020034
-10.502290 -13.087786 0.021203
-10.296183 -13.087786 0.022339
-10.090076 -13.087786 0.023440
-9.883969 -13.087786 0.024502
-9.677863 -13.087786 0.025525
-9.471756 -13.087786 0.026504
-9.265649 -13.087786 0.027438
-9.059542 -13.087786 0.028324
-8.853435 -13.087786 0.029160
-8.647328 -13.087786 0.029944
-8.441221 -13.087786 0.030672
-8.235115 -13.087786 0.031343
-8.029008 -13.087786 0.031953
-7.822901 -13.087786 0.032502
-7.616794 -13.087786 0.032986
-7.410687 -13.087786 0.033403
-7.204580 -13.087786 0.033752
-6.998473 -13.087786 0.034029
-6.792366 -13.087786 0.034234
-6.586260 -13.087786 0.034365
-6.380153 -13.087786 0.034419
-6.174046 -13.087786 0.034396
-5.967939 -13.087786 0.034294
-5.761832 -13.087786 0.034113
-5.555725 -13.087786 0.033851
-5.349618 -13.087786 0.033508
-5.143511 -13.087786 0.033083
-4.937405 -13.087786 0.032577
-4.731298 -13.087786 0.031989
-4.525191 -13.087786 0.031320
-4.319084 -13.087786 0.030571
-4.112977 -13.087786 0.029742
-3.906870 -13.087786 0.028836
-3.700763 -13.087786 0.027853
-3.494656 -13.087786 0.026795
-3.288550 -13.087786 0.025666
-3.082443 -13.087786 0.024466
-2.876336 -13.087786 0.023199
-2.670229 -13.087786 0.021868
-2.464122 -13.087786 0.020477
-2.258015 -13.087786 0.019028
-2.051908 -13.087786 0.017526
-1.845802 -13.087786 0.015976
-1.639695 -13.087786 0.014380
-1.433588 -13.087786 0.012744
-1.227481 -13.087786 0.011073
-1.021374 -13.087786 0.009372
-0.815267 -13.087786 0.007644
-0.609160 -13.087786 0.005897
-0.403053 -13.087786 0.004134
-0.196947 -13.087786 0.002362
0.009160 -13.087786 0.000585
0.215267 -13.087786 -0.001191
0.421374 -13.087786 -0.002960
0.627481 -13.087786 -0.004718
0.833588 -13.087786 -0.006458
1.039695 -13.087786 -0.008176
1.245802 -13.087786 -0.009866
1.451908 -13.087786 -0.011523
1.658015 -13.087786 -0.013143
1.864122 -13.087786 -0.014720
2.070229 -13.087786 -0.016251
2.276336 -13.087786 -0.017730
2.482443 -13.087786 -0.019155
2.688550 -13.087786 -0.020520
2.894656 -13.087786 -0.021822
3.100763 -13.087786 -0.023058
3.306870 -13.087786 -0.024225
3.512977 -13.087786 -0.025321
3.719084 -13.087786 -0.026341
3.925191 -13.087786 -0.027286
4.131298 -13.087786 -0.028152
4.337405 -13.087786 -0.028938
4.543511 -13.087786 -0.029642
4.749618 -13.087786 -0.030265
4.955725 -13.087786 -0.030804
5.161832 -13.087786 -0.031260
5.367939 -13.087786 -0.031633
5.574046 -13.087786 -0.031923
5.780153 -13.087786 -0.032129
5.986260 -13.087786 -0.032254
6.192366 -13.087786 -0.032297
6.398473 -13.087786 -0.032259
6.604580 -13.087786 -0.032143
6.810687 -13.087786 -0.031950
7.016794 -13.087786 -0.031680
7.222901 -13.087786 -0.031337
7.429008 -13.087786 -0.030921
7.635115 -13.087786 -0.030436
7.841221 -13.087786 -0.029883
8.047328 -13.087786 -0.029264
8.253435 -13.087786 -0.028583
8.459542 -13.087786 -0.027841
8.665649 -13.087786 -0.027041
8.871756 -13.087786 -0.026185
9.077863 -13.087786 -0.025276
9.283969 -13.087786 -0.024317
9.490076 -13.087786 -0.023311
9.696183 -13.087786 -0.022259
9.902290 -13.087786 -0.021165
10.108397 -13.087786 -0.020032
10.314504 -13.087786 -0.018861
10.520611 -13.087786 -0.017656
10.726718 -13.087786 -0.016418
10.932824 -13.087786 -0.015152
11.138931 -13.087786 -0.013859
11.345038 -13.087786 -0.012541
11.551145 -13.087786 -0.011202
11.757252 -13.087786 -0.009844
11.963359 -13.087786 -0.008468
12.169466 -13.087786 -0.007079
12.375573 -13.087786 -0.005677
12.581679 -13.087786 -0.004266
12.787786 -13.087786 -0.002848
12.993893 -13.087786 -0.001425
13.200000 -13.087786 0.000000
-13.800000 -12.881679 0.000000
-13.593893 -12.881679 0.002116
-13.387786 -12.881679 0.004229
-13.181679 -12.881679 0.006336
-12.975573 -12.881679 0.008434
-12.769466 -12.881679 0.010521
-12.563359 -12.881679 0.012594
-12.357252 -12.881679 0.014649
-12.151145 -12.881679 0.016684
-11.945038 -12.881679 0.018695
-11.738931 -12.881679 0.020679
-11.532824 -12.881679 0.022634
-11.326718 -12.881679 0.024556
-11.120611 -12.881679 0.026442
-10.914504 -12.881679 0.028288
-10.708397 -12.881679 0.030091
-10.502290 -12.881679 0.031848
-10.296183 -12.881679 0.033556
-10.090076 -12.881679 0.035209
-9.883969 -12.881679 0.036806
-9.677863 -12.881679 0.038343
-9.471756 -12.881679 0.039815
-9.265649 -12.881679 0.041219
-9.059542 -12.881679 0.042552
-8.853435 -12.881679 0.043809
-8.647328 -12.881679 0.044987
-8.441221 -12.881679 0.046083
-8.235115 -12.881679 0.047092
-8.029008 -12.881679 0.048011
-7.822901 -12.881679 0.048836
-7.616794 -12.881679 0.049565
-7.410687 -12.881679 0.050194
-7.204580 -12.881679 0.050719
-6.998473 -12.881679 0.051138
-6.792366 -12.881679 0.051447
-6.586260 -12.881679 0.051645
-6.380153 -12.881679 0.051729
-6.174046 -12.881679 0.051696
-5.967939 -12.881679 0.051544
-5.761832 -12.881679 0.051273
-5.555725 -12.881679 0.050881
-5.349618 -12.881679 0.050366
-5.143511 -12.881679 0.049730
-4.937405 -12.881679 0.048970
-4.731298 -12.881679 0.048087
-4.525191 -12.881679 0.047083
-4.319084 -12.881679 0.045958
-4.112977 -12.881679 0.044714
-3.906870 -12.881679 0.043352
-3.700763 -12.881679 0.041875
-3.494656 -12.881679 0.040286
-3.288550 -12.881679 0.038588
-3.082443 -12.881679 0.036785
-2.876336 -12.881679 0.034880
-2.670229 -12.881679 0.032880
-2.464122 -12.881679 0.030788
-2.258015 -12.881679 0.028610
-2.051908 -12.881679 0.026353
-1.845802 -12.881679 0.024021
-1.639695 -12.881679 0.021622
-1.433588 -12.881679 0.019162
-1.227481 -12.881679 0.016649
-1.021374 -12.881679 0.014090
-0.815267 -12.881679 0.011493
-0.609160 -12.881679 0.008865
-0.403053 -12.881679 0.006214
-0.196947 -12.881679 0.003548
0.009160 -12.881679 0.000876
0.215267 -12.881679 -0.001794
0.421374 -12.881679 -0.004455
0.627481 -12.881679 -0.007098
0.833588 -12.881679 -0.009715
1.039695 -12.881679 -0.012298
1.245802 -12.881679 -0.014839
1.451908 -12.881679 -0.017332
1.658015 -12.881679 -0.019767
1.864122 -12.881679 -0.022139
2.070229 -12.881679 -0.024441
2.276336 -12.881679 -0.026665
2.482443 -12.881679 -0.028806
2.688550 -12.881679 -0.030859
2.894656 -12.881679 -0.032816
3.100763 -12.881679 -0.034675
3.306870 -12.881679 -0.036429
3.512977 -12.881679 -0.038075
3.719084 -12.881679 -0.039609
3.925191 -12.881679 -0.041028
4.131298 -12.881679 -0.042329
4.337405 -12.881679 -0.043509
4.543511 -12.881679 -0.044568
4.749618 -12.881679 -0.045502
4.955725 -12.881679 -0.046312
5.161832 -12.881679 -0.046997
5.367939 -12.881679 -0.047556
5.574046 -12.881679 -0.047989
5.780153 -12.881679 -0.048298
5.986260 -12.881679 -0.048484
6.192366 -12.881679 -0.048547
6.398473 -12.881679 -0.048490
6.604580 -12.881679 -0.048314
6.810687 -12.881679 -0.048021
7.016794 -12.881679 -0.047615
7.222901 -12.881679 -0.047097
7.429008 -12.881679 -0.046471
7.635115 -12.881679 -0.045740
7.841221 -12.881679 -0.044908
8.047328 -12.881679 -0.043977
8.253435 -12.881679 -0.042952
8.459542 -12.881679 -0.041835
8.665649 -12.881679 -0.040632
8.871756 -12.881679 -0.039345
9.077863 -12.881679 -0.037979
9.283969 -12.881679 -0.036537
9.490076 -12.881679 -0.035024
9.696183 -12.881679 -0.033443
9.902290 -12.881679 -0.031799
10.108397 -12.881679 -0.030095
10.314504 -12.881679 -0.028336
10.520611 -12.881679 -0.026524
10.726718 -12.881679 -0.024665
10.932824 -12.881679 -0.022762
11.138931 -12.881679 -0.020819
11.345038 -12.881679 -0.018840
11.551145 -12.881679 -0.016828
11.757252 -12.881679 -0.014787
11.963359 -12.881679 -0.012721
12.169466 -12.881679 -0.010634
12.375573 -12.881679 -0.008528
12.581679 -12.881679 -0.006409
12.787786 -12.881679 -0.004278
12.993893 -12.881679 -0.002141
13.200000 -12.881679 0.000000
-13.800000 -12.675573 0.000000
-13.593893 -12.675573 0.002826
-13.387786 -12.675573 0.005648
-13.181679 -12.675573 0.008462
-12.975573 -12.675573 0.011265
-12.769466 -12.675573 0.014052
-12.563359 -12.675573 0.016821
-12.357252 -12.675573 0.019566
-12.151145 -12.675573 0.022284
-11.945038 -12.675573 0.024970
-11.738931 -12.675573 0.027621
-11.532824 -12.675573 0.030233
-11.326718 -12.675573 0.032801
-11.120611 -12.675573 0.035320
-10.914504 -12.675573 0.037788
-10.708397 -12.675573 0.040197
-10.502290 -12.675573 0.042546
-10.296183 -12.675573 0.044828
-10.090076 -12.675573 0.047039
-9.883969 -12.675573 0.049174
-9.677863 -12.675573 0.051228
-9.471756 -12.675573 0.053197
-9.265649 -12.675573 0.055075
-9.059542 -12.675573 0.056857
-8.853435 -12.675573 0.058540
-8.647328 -12.675573 0.060116
-8.441221 -12.675573 0.061583
-8.235115 -12.675573 0.062934
-8.029008 -12.675573 0.064165
-7.822901 -12.675573 0.065271
-7.616794 -12.675573 0.066248
-7.410687 -12.675573 0.067091
-7.204580 -12.675573 0.067796
-6.998473 -12.675573 0.068359
-6.792366 -12.675573 0.068776
-6.586260 -12.675573 0.069043
-6.380153 -12.675573 0.069158
-6.174046 -12.675573 0.069117
-5.967939 -12.675573 0.068917
-5.761832 -12.675573 0.068558
-5.555725 -12.675573 0.068036
-5.349618 -12.675573 0.067351
-5.143511 -12.675573 0.066502
-4.937405 -12.675573 0.065489
-4.731298 -12.675573 0.064311
-4.525191 -12.675573 0.062970
-4.319084 -12.675573 0.061468
-4.112977 -12.675573 0.059805
-3.906870 -12.675573 0.057986
-3.700763 -12.675573 0.056012
-3.494656 -12.675573 0.053888
-3.288550 -12.675573 0.051618
-3.082443 -12.675573 0.049207
-2.876336 -12.675573 0.046661
-2.670229 -12.675573 0.043986
-2.464122 -12.675573 0.041188
-2.258015 -12.675573 0.038275
-2.051908 -12.675573 0.035255
-1.845802 -12.675573 0.032136
-1.639695 -12.675573 0.028926
-1.433588 -12.675573 0.025635
-1.227481 -12.675573 0.022273
-1.021374 -12.675573 0.018849
-0.815267 -12.675573 0.015374
-0.609160 -12.675573 0.011857
-0.403053 -12.675573 0.008310
-0.196947 -12.675573 0.004743
0.009160 -12.675573 0.001167
0.215267 -12.675573 -0.002406
0.421374 -12.675573 -0.005967
0.627481 -12.675573 -0.009503
0.833588 -12.675573 -0.013005
1.039695 -12.675573 -0.016462
1.245802 -12.675573 -0.019862
1.451908 -12.675573 -0.023197
1.658015 -12.675573 -0.026456
1.864122 -12.675573 -0.029629
2.070229 -12.675573 -0.032708
2.276336 -12.675573 -0.035684
2.482443 -12.675573 -0.038548
2.688550 -12.675573 -0.041293
2.894656 -12.675573 -0.043911
3.100763 -12.675573 -0.046396
3.306870 -12.675573 -0.048742
3.512977 -12.675573 -0.050942
3.719084 -12.675573 -0.052993
3.925191 -12.675573 -0.054889
4.131298 -12.675573 -0.056628
4.337405 -12.675573 -0.058205
4.543511 -12.675573 -0.059618
4.749618 -12.675573 -0.060866
4.955725 -12.675573 -0.061947
5.161832 -12.675573 -0.062860
5.367939 -12.675573 -0.063605
5.574046 -12.675573 -0.064183
5.780153 -12.675573 -0.064593
5.986260 -12.675573 -0.064839
6.192366 -12.675573 -0.064920
6.398473 -12.675573 -0.064841
6.604580 -12.675573 -0.064602
6.810687 -12.675573 -0.064208
7.016794 -12.675573 -0.063662
7.222901 -12.675573 -0.062968
7.429008 -12.675573 -0.062128
7.635115 -12.675573 -0.061149
7.841221 -12.675573 -0.060033
8.047328 -12.675573 -0.058787
8.253435 -12.675573 -0.057414
8.459542 -12.675573 -0.055919
8.665649 -12.675573 -0.054309
8.871756 -12.675573 -0.052587
9.077863 -12.675573 -0.050759
9.283969 -12.675573 -0.048830
9.490076 -12.675573 -0.046806
9.696183 -12.675573 -0.044693
9.902290 -12.675573 -0.042494
10.108397 -12.675573 -0.040216
10.314504 -12.675573 -0.037864
10.520611 -12.675573 -0.035442
10.726718 -12.675573 -0.032957
10.932824 -12.675573 -0.030414
11.138931 -12.675573 -0.027817
11.345038 -12.675573 -0.025172
11.551145 -12.675573 -0.022483
11.757252 -12.675573 -0.019756
11.963359 -12.675573 -0.016996
12.169466 -12.675573 -0.014207
12.375573 -12.675573 -0.011394
12.581679 -12.675573 -0.008562
12.787786 -12.675573 -0.005716
12.993893 -12.675573 -0.002860
13.200000 -12.675573 0.000000
-13.800000 -12.469466 0.000000
-13.593893 -12.469466 0.003540
-13.387786 -12.469466 0.007075
-13.181679 -12.469466 0.010600
-12.975573 -12.469466 0.014112
-12.769466 -12.469466 0.017604
-12.563359 -12.469466 0.021072
-12.357252 -12.469466 0.024511
-12.151145 -12.469466 0.027916
-11.945038 -12.469466 0.031283
-11.738931 -12.469466 0.034605
-11.532824 -12.469466 0.037878
-11.326718 -12.469466 0.041096
-11.120611 -12.469466 0.044254
-10.914504 -12.469466 0.047347
-10.708397 -12.469466 0.050368
-10.502290 -12.469466 0.053313
-10.296183 -12.469466 0.056174
-10.090076 -12.469466 0.058947
-9.883969 -12.469466 0.061625
-9.677863 -12.469466 0.064202
-9.471756 -12.469466 0.066673
-9.265649 -12.469466 0.069030
-9.059542 -12.469466 0.071268
-8.853435 -12.469466 0.073380
-8.647328 -12.469466 0.075360
